"Acupressure, 20 PP; Status, Normal; 10ft. Target, which can be user or ally, increases one of its stats by 2 stages, randomly chosen each time."
"After You, 20 PP; Status, Normal; 30ft. Target will move next in the initiative order after this Pokémon's turn, regardless of the initiative order. This move has priority."
"Assist, 10 PP; Status, Normal; Self. Selects from a random move that its party members know, choosing from every move the Pokémon in the party knows."
"Attract, 10 PP; Status, Normal; 30ft. Make an attack roll using Special Attack. On hit, the target is infatuated, bypasses Substitute."
"Barrage, 15 PP; Physical, Normal; 30ft. Roll a d4+1, making a number of attacks equal to the roll. Deals 1d6 + Attack modifier damage."
"Baton Pass, 30 PP; Status, Normal; Self. The user swaps out of battle to an ally, transferring all negative and positive stat changes, or moves a number of feet equal to double its walking speed and transfers stat changes to a Pokémon within 10 feet of where it stops."
"Belly Drum, 5 PP; Status, Normal; Self. Reducers the user's HP by half of its max HP, but its attack is maximized to +6 stages. Cannot be used if at or below half HP."
"Bestow, 10 PP; Status, Normal; 30ft. User forcibly gives a held item it has to a foe. Cannot be used if the user doesn't have any held items to give, or if the foe already has a held item."
"Bide, 10 PP; Physical, Normal; Self. User enters a state of biding for 3 turns. On the turn it uses the move and second turn, it does nothing and bides its time. On the 3rd turn, it deals damage equal to double the damage total damage it took to a single target."
"Bind, 15 PP; Physical, Normal; Melee. Deals 1d4 + Attack modifier damage, and on hit, roll a 1d4+1, binding the target for that amount of turns. Each turn while binded, user and target cannot move from their spaces until unbinded."
"Block, 5 PP; Status, Normal; 30ft. Make an attack roll using Attack. On hit, blocks the foe and prevents it from switching out or moving outside of a 30 foot radius of the user."
"Blood Moon, 5 PP; Special, Normal; 30ft. Deals 5d12 + Special Attack modifier damage, and the move can only be used every other turn."
"Body Slam, 10 PP; Physical, Normal; Melee. Deals 3d12 + Attack modifier damage. On hit, roll a d10. On an 8-10, the target is paralyzed."
"Boomburst, 10 PP; Special, Normal; 15ft radius. Make a separate attack on each target. Deals 5d10 + Special Attack modifier damage."
"Breakneck Blitz; Physical or Special, Normal; Melee. Normal type Z-Move. On hit, deals 8d12 + Attack or Special Attack modifier damage."
"Camouflage, 20 PP; Status, Normal; Self. Changes to a single typing depending on the environment. Ex., Water type at a beach or Rock type on a mountain."
"Captivate, 20 PP; Status, Normal; 30ft. Make an attack roll using Special Attack. On hit, lowers the Special Attack of the target by 2 stages if they are opposite gender to the user."
"Celebrate, 30 PP; Status, Normal; Self. User celebrates some great accomplishment. Woohoo! Does nothing. Good job."
"Chip Away, 20 PP; Physical, Normal; Melee. Ignores any temporary Defense or other AC boosts of the target. Deals 2d12 + Attack modifier damage."
"Comet Punch, 15 PP; Physical, Normal; Melee. Roll a d4+1, making a number of attacks equal to the roll. Deals 1d6 + Attack modifier damage, and each attack can target a different individual."
"Confide, 20 PP; Status, Normal; 30ft. Make an attack roll using Special Attack. Lower's the target's Special Attack by 1 stage."
"Constrict, 30 PP; Physical, Normal; Melee. Deals 1d6 + Attack modifier damage, and on hit, roll a 1d10. On a 10, the target's speed is lowered by 1 stage."
"Conversion, 30 PP; Status, Normal; Self. Changes the user's type to a typing of one of the user's moves of the user's choosing."
"Conversion 2, 30 PP; Status, Normal; 20ft. Targets a foe, changing the user to a type that would be immune to or resist the move it last used: ex., if the target last used an Electric type move, user would change to Ground type."
"Copycat, 20 PP; Status, Normal; 30ft. Uses the move that was last used by the target."
"Covet, 20 PP; Physical, Normal; Melee. Deals 2d10 + Attack modifier damage and steals the target's held item if it has one and if the user isn't holding an item."
"Crush Claw, 10 PP; Physical, Normal; Melee. Deals 3d10 + Attack modifier damage, and on hit, roll a d20. On even numbers, lower the target's Defense by 1 stage."
"Crush Grip, 5 PP; Physical, Normal; Melee. Deals 5d10 + Attack modifier damage if target is at full HP, 3d10 + Attack modifier damage if target is above half HP, or 1d12 + Attack modifier damage if the target is below half HP."
"Cut, 30 PP; Physical, Normal; Melee. Deals 2d10 + Attack modifier damage to target."
"Defense Curl, 40 PP; Status, Normal; Self. Increases user's Defense by 1 stage, and the next use of Rollout or Ice Ball gains an additional damage die."
"Disable, 20 PP; Status, Normal; 30ft. Make an attack roll using Special Attack, and on hit, disables the last move the target used, making them unable to use it for 3 turns."
"Dizzy Punch, 10 PP; Physical, Normal; Melee. Deals 3d10 + Attack modifier damage to target, and on hit, roll a d10. On a 9 or 10, the target is confused."
"Doodle, 10 PP; Status, Normal; 20ft. Copies a single foe's abilities onto the user and onto all willing allies within 15ft of the user."
"Double Hit, 10 PP; Physical, Normal; Melee. Make two attack rolls. Deals 1d12 + Attack modifier damage."
"Double Slap, 10 PP; Physical, Normal; Melee. Roll a d4+1, making a number of attacks equal to the roll. Deals 1d6 + Attack modifier damage."
"Double Team, 5 PP; Status, Normal; Self. Until the end of the user's next turn, all attacks made against it are at disadvantage."
"Double Edge, 15 PP; Physical, Normal; Melee. Deals 5d12 + Attack modifier damage, user takes recoil equal to 1/3 of the damage dealt."
"Echoed Voice, 15 PP; Special, Normal; 30ft. Deals 1d6 + Special Attack modifier damage to foe. Each consecutive round this move is used, the move gains an additional die of damage, up to a maximum of 6d6 + Special Attack modifier damage."
"Egg Bomb, 10 PP; Physical, Normal; 20ft. Deals 4d10 + Attack modifier damage."
"Encore, 5 PP; Status, Normal; 30ft. Make an attack roll using Special Attack, and on hit, forces the target to use the move it last used for 3 turns before being freed from the encore."
"Endeavor, 5 PP; Physical, Normal; Melee. Reduces foe's HP to the user's current HP."
"Endure, 3 PP; Status, Normal; Self. As a reaction against being dealt damage that would cause the user to fall to or below 0 HP, it instead stays up at 1 HP, and cannot fall below 1 HP until the end of the round."
"Entrainment, 15 PP; Status, Normal; 30ft. Changes target's ability to the user's. If the target has multiple abilities, it can change different abilities with each use."
"Explosion, 3 PP; Physical, Normal; 30ft radius. Make a separate attack on each target. Deals 9d10 + Attack modifier damage, and the user faints. If the move misses a target, it deals half damage instead."
"Extreme Evoboost; Status, Normal; Self. Eevee only Z-Move, while using Last Resort. Increases the user's Attack, Defense, Special Attack, Special Defense, and Speed by 2 stages each."
"Extreme Speed, 5 PP; Physical, Normal; 20ft. The user moves adjacent to the target before making the attack roll. Deals 3d12 + Attack modifier damage, and the move has priority."
"Facade, 20 PP; Physical, Normal; Melee. Deals 2d10 + Attack modifier damage. Increases to 4d10 + Attack modifier damage if the user is burned, paralyzed, or poisoned."
"Fake Out, 10 PP; Physical, Normal; Melee. Deals 1d10 + Attack modifier damage and causes target to flinch and has priority. Can only be used on the first turn the Pokémon is active in a battle."
"False Swipe, 30 PP; Physical, Normal; Melee. Deals 1d10 + Attack modifier damage, cannot damage a foe below 1 HP."
"Feint, 15 PP; Physical, Normal; Melee. Deals 1d12 + Attack modifier damage, and on hit, the target cannot take reactions until the end of its next turn."
"Fillet Away, 10 PP; Status, Normal; Self. User takes damage equal to half of its max HP and increases its Attack, Special Attack and Speed by 2 stages."
"Flail, 15 PP; Physical, Normal; Melee. Deals 5d10 + Attack modifier damage if user is at or below 1/4 max HP, 3d10 + Attack modifier damage if user is below half HP, 1d12 + Attack modifier damage if the user is above half HP, or 1d12 + Attack modifier damage if the user is at full HP."
"Flash, 20 PP; Status, Normal; 10ft radius. All targets in range must make a Concentration check vs. user's Style check. On a fail, targets have disadvantage on their next attack roll."
"Focus Energy, 10 PP; Status, Normal; Self. Increases the user's critical hit range by 2 (ex from 20 to 18-20). Cannot be stacked."
"Follow Me, 20 PP; Status, Normal; 30ft radius. Make a separate attack on each target, with an attack roll using Special Attack. On hit, targets must move toward and attack the target during the round, and this attack has priority. Allies are immune to the effects of this move."
